asv	kingdom	phylum	class	order	family	genus	species
6dd9ceffbcf3693f871b6b124805a70d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
823d9eacae36390abe8a635060926fba	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
f5139b2ff8221b4e06d7f6cac0527b0e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	NA
12c5ab06f88a691e154e3b58b42d21b4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
149b15ada534fba29a1d71411eca34fa	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	uncultured bacterium
705b94f81bb36a4536d0c47e54890590	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
ffc36e27c82042664a16bcd4d380b286	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia-Shigella	NA
7f957859a0ebaa17edbdc09b8331c585	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
c9ec9bb4060035d90956e2eadc360a03	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
d23182e8ef6c8ecfa3ccafa68a4d9909	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
de7c8880eec69c01fb48965717ce4767	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	NA
8519ce0cff26a935b5203e976c66b84d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	wallaby gut metagenome
bee5e6af6257245c1586300c3691393f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
c2b7dec224c7e83180ebbb6e2d9b0ff5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
512fa255a2cf06f60248293decaaf171	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
630ffca28d0287010bd4ba0826d9c964	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
e4824b0b5514538a5d0bf90db71f271a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
64ff2e7a01ddb9dc0deb2e962d56400b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	wallaby gut metagenome
0768ea73ae377bedd62465a6e770d9ef	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
8d96203fbb5a72a8d54e4934fa0b4573	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
f0850db67413ea0a66ef210f95677485	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
ffcb6780ae2d867b13066891229c170c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
8f51d82f637b533c4bf93d8f18ccbc3f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
17f804cc94127594bcc4f6a0fe98c3ab	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
b252999047f4f545524bf84f32d475af	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	uncultured bacterium
a99dc607d1c03cffa4fbfdca0c4882b5	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
e33d7bf77ae08d611d59826d1d5f5588	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
3731b629310d02d9c249948a8cc2e5d1	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	NA
4183b288eadee1a63de63031477a4614	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 5	uncultured bacterium
0621176afb26a20afc63f8bee39c08c3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
7ccfa57ab7f2432a43f277df20abc46f	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
ff41d787d4d927b9596eebf7cf315d4a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerosporobacter	NA
c941caa6f9d5f386835a14aacbb8fa72	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
b20d40b18c1f644517dba2991d8de77e	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	NA	NA	NA
55f15e2fe51e896fd10ee7c78c54bf63	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
ce0ef0fc5a8b4532c835cc5da21bff30	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
bd829372b9d313b0e6335807b67955c6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured bacterium
1ea17f6d573df4b3f1df09ea49a72443	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
12fb263786639f9dde4d475913b49dd6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	uncultured bacterium
24f24dc590a8a74ccdd8684247800f42	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
010ed335fb48d4dbc5903cabedb35bb9	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
2653a431a6e62921bd0562a67141e254	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
074ab74a92a2f4a751aff98da87dc3bb	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
53f1707392f9591413283770007c2276	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
1e540c4bf336dd4d63ce15dd1adda489	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	uncultured bacterium
adf36d199999803599eefcb989e7127a	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA	NA
78dad3684ec2a962a72b00ec7e09e357	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
90af30c193662bd3f504c4d72d77794e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
a26b8e2a8a22f3f9c70010208af1b0b4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
9ae8b04565311781e4d2417b890f1817	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	wallaby gut metagenome
76263baa0b9ee63863072926f4eb6300	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
0f793410f37425f3878413f359c22686	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
3a23f0bfedc1a0540f19dccb0d8606da	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
117de6f9352ca093eefb4e5b5b72d18b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
e450bc5613e5719ca5d7539b4520b5f7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
6ba48d3bea4f73afb74a5aa8d0d5364d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d89200a85873e223d838f4ef0ca9bcb4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
5835002eee954f9fdb036783faa37511	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
76f1650386234fd77c67751296ada883	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
dbc282ca26e3f8cf6e2c621d4cbe5bff	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
0aba9ac721454dcb2834d96461053690	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
353d5f7812bbece15d4d73ddb1064bb4	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
04be702b895fe5ed0568344daf564276	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA
dc4d35a196528f8d044a02adf9deeb18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
7c9db1ddc64c5bcaf418f847c27eb06c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA
5958661f6aaa409af67ceffc524bec9e	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 2	NA
b24a5e58caf6a2d8461fc412a4bf5e65	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	uncultured	uncultured bacterium
f5e5740f09c5a453246e5426118a0efb	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
0c2239ac7e1dfec0e07f848dc4b8b168	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
0611e872eaa0f8a1865d4f43380da123	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
00bf0958c6275f12aa75f11d79029099	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
34358adb2d1703b3d056c559972ac9c0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
23c239bb0ac3399f73847637290ba52c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
5b1ff6df993eebbfa53f4aca9acab279	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	uncultured	uncultured bacterium
6b85fbe0a53d8ac1b0975c0f488f1e81	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
f98fd1106e862c90d5e02be457392a29	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	uncultured bacterium
4cf180e6a6caadc7252119fb5347e440	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
62e9f1bc9dba18d3604def6017ae1da9	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	uncultured bacterium
9ce77ff6038551b1840322d4d2fec4f2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	NA
723f20f68d3cf08a116eef67dbd05e5a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
fbeb93c17f2e104b1ad91c91dd10665b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
03e13fec90b9475c5211a566b42da42b	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
57c8c7ef913a6de0ebc02c208320abe6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured bacterium
311762e672a0753b0472f4b5361f0e77	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	p-2534-18B5 gut group	uncultured bacterium	uncultured bacterium
fd53a503fc97be5902bccc58dc8f40c0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	NA
962c638d5805bdb3b29413bb266a69d9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
3feabeef704b7f7909cccd3f316bfbe0	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	NA	NA
392c7f33a1d36038723b06d5e06263ad	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
881213da5ff83f2a0bc875cd2e68333b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
7fa1267c5905642f3c81ab0308716780	Bacteria	Proteobacteria	Deltaproteobacteria	Rs-K70 termite group	NA	NA	NA
340f7d8d571641d29d8b1c9b44fedad6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	NA
16198d5155e5fee4053e664b479550f3	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	uncultured bacterium
06c333b6fa9bb0cc1273b913b18a0b75	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae NK4A214 group	NA
21af1e4d6eae650a28d4c6b634368b11	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
d3e577223928b5384c48c00724883b71	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
9ee82f9c901fcce8e8634594629017d7	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
4d77530df84e4ddae5293f73cc9c0890	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
b31dc44bac0bcb68a0378e5defd35e39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
86acbf5ae0ef519a3bfa3e2dbff8ce3c	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	uncultured bacterium
12e9595ce0584df3efb1c92d0d157b29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
cec53bf780d1bedbb7ecd616e2691e7d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
a282b5c0f211e70004f56b1930a6547b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
4022f7ecf1f9b1a64f570bf20deeac12	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
05a08544beddcb0bd334af454f9a7a1b	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	NA
94d62128a40d662d180ae51a446f6a10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d154053d2e2daa3270fb3af3b4af626a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
daf3f1f0f443a89bf43a63917e42b97b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	NA
d6f9726a2441e9b679fe0f66f6b3a4a0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	uncultured bacterium
4851bb1430da9c0e777e925be73b1e42	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
02250cdea5fd4b3f08506421a0b358e3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
4a895fe3ad0ee19578000e40b9521f1c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d1f13dff29ace1631720e8a8cca41c4e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
16af7ae2baa5dcc4d2e94003f378ddde	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
ef9a782778402f3610f45db9ee306473	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	uncultured bacterium
059c5677913e355fdbcda04b944b612a	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
f7621db773e1fc37d79ab41b42c0bc91	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	uncultured bacterium
9587d5e3e0cf7dfb8421292d7ea42336	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	uncultured bacterium
c137b87421170a82ae0ff766b3a86c4c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
813a4e130accc19b3f42aa9b429a3692	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
1be142a14d3ca0a49bcfb08c2ac9f277	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
08be1121ec7e854eeb548a65b06be640	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	NA
5a4113c4524d14d4125c009ad0d1fe0d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d290f23a30825ebe5e4db36df3801666	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	anaerobic digester metagenome
d3c44a7d363df2b57115857b3465bf60	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	NA
3aabdd342375d3f5e8b2a0a8d0c303a6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA
796caa874cf08222d82d6f57b464c214	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
e48e36e9aa071969d8e695d34411ce82	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	NA
01d598f1b1dd557b1fe918137d03698f	Bacteria	Proteobacteria	Deltaproteobacteria	Rs-K70 termite group	NA	NA	NA
5ad6151bf64df2c20da0efa08456c964	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
2f7acdbaecf73c0c1c22ece3fd6d6f1f	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	NA
2a5cb2280758aa8250a4df4bf256db64	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
3638f2062c305c79df283ef573a10b97	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	NA
5797702f28f8f44ea61fe7e7f07ec17c	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	uncultured	uncultured bacterium
d1776f8eb42d77b11caefd95154545b1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
3ca3abfe4f322262b8c72a8318e1df4f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
4757dbc65772f389c07f6420f86836c9	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA	NA
87c4714d91ff0416edf033525647e7ee	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	NA
bc10c3ba280c76b24552d0eecb8f3ccb	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	NA
74ecfb962ef756dc2132ace9a014cd61	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
849d3c66bf8a1d3bbe73e0d18969eff8	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	uncultured bacterium
da809c377a30388218e174cbe67c8e58	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
1b8931ee56053f4db30b872c7cda2954	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
f17b3b0e433c048d074a01a374e77584	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
5b56d594b1632e8760340d9077380ac4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
0bee1e43930c6fa41c6fd4e727550c98	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured Clostridiales bacterium
c0396b2ba3e639f4ff2ce826a34e2e08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
f3370fea9a722c478f173278964db1a9	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	uncultured bacterium
7e9aa654af07f976990b5b0b6829e52b	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
81d17a2e72c83cb2d48481564d2a25f4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
1a99aa2caadf8d9da79e9483322aacda	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
5380895f21ecc363a56e82b01f021565	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
3b076ac41ea75ab6a79ce6911b3a76be	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	NA
5db47d6d9bad2da7c26035e87ee888a9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
325a26a5ec530ddc3ea1a956f9ff3974	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA	NA
31aba921babd6f098a4e57a54ca980ee	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
0fd80ece1d65c082acd5f91f0ecc8e11	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
17fef0decc6d531de35224c5ec005532	Bacteria	Proteobacteria	Deltaproteobacteria	Rs-K70 termite group	NA	NA	NA
a57a938b98370a89a7bea20761a21fd4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
f134be991da1f599aa8cef7fb76b191c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
99c7e1a764891c53d5a3a8885063f793	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
7f3f2dc2a06385b90bd69e1ef240ff55	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	NA
f8504000910bfd3d8c382b4da3847d9a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
20ca2dd4e3da9b60b9e14d7708150e54	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	NA
3a674e5a2fdbd39dd624307528360688	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	uncultured bacterium
